time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.098463,0.098688,0.09856066000000001,0.0985595,4.920024796685397e-05,8192,64,8,8,131072,1,32,1696,True,FLASH_ATTENTION
0.098559,0.098751,0.09863938,0.098655,4.392989414965737e-05,8192,64,8,8,131072,1,32,1728,True,FLASH_ATTENTION
0.101919,0.10211100000000001,0.10200232,0.101983,5.471103727768283e-05,8192,64,8,8,131072,1,32,1760,True,FLASH_ATTENTION
0.101951,0.10214400000000001,0.10203493999999999,0.102047,4.7443191292321894e-05,8192,64,8,8,131072,1,32,1792,True,FLASH_ATTENTION
0.10524800000000001,0.105504,0.1053767,0.10537550000000001,5.6103564949115885e-05,8192,64,8,8,131072,1,32,1824,True,FLASH_ATTENTION
0.105375,0.105567,0.10544887999999998,0.10544,4.889770546763939e-05,8192,64,8,8,131072,1,32,1856,True,FLASH_ATTENTION
0.108671,0.108928,0.10880288000000002,0.108799,6.063452481878544e-05,8192,64,8,8,131072,1,32,1888,True,FLASH_ATTENTION
0.108767,0.108991,0.10884914,0.108832,4.956248984867361e-05,8192,64,8,8,131072,1,32,1920,True,FLASH_ATTENTION
0.112095,0.112288,0.11219944000000001,0.112191,5.8333578666150796e-05,8192,64,8,8,131072,1,32,1952,True,FLASH_ATTENTION
0.11215900000000001,0.11241500000000001,0.11225416,0.112255,5.889426457644296e-05,8192,64,8,8,131072,1,32,1984,True,FLASH_ATTENTION
0.11551900000000001,0.11571200000000001,0.11559936,0.115615,6.009251534092882e-05,8192,64,8,8,131072,1,32,2016,True,FLASH_ATTENTION
0.009728,0.009824,0.00977396,0.00976,1.939480342772278e-05,8192,64,8,8,131072,1,64,64,True,FLASH_ATTENTION
0.013728,0.013792,0.01376892,0.01376,1.813266665441153e-05,8192,64,8,8,131072,1,64,128,True,FLASH_ATTENTION
0.017087,0.017152,0.01711228,0.01712,1.6378082915896057e-05,8192,64,8,8,131072,1,64,192,True,FLASH_ATTENTION
0.02048,0.020544,0.020508060000000005,0.020512000000000002,1.767077813793121e-05,8192,64,8,8,131072,1,64,256,True,FLASH_ATTENTION
0.02384,0.023967,0.023908240000000004,0.023904,2.4739086482729345e-05,8192,64,8,8,131072,1,64,320,True,FLASH_ATTENTION
0.027264,0.02736,0.027315100000000002,0.027327,2.3869855466675825e-05,8192,64,8,8,131072,1,64,384,True,FLASH_ATTENTION
0.030655,0.030751999999999998,0.03071784,0.03072,2.344812145993742e-05,8192,64,8,8,131072,1,64,448,True,FLASH_ATTENTION
0.034079,0.034144,0.0341085,0.034112,2.233315920330187e-05,8192,64,8,8,131072,1,64,512,True,FLASH_ATTENTION
0.037471,0.037568,0.037505699999999996,0.037503999999999996,2.3513613078384385e-05,8192,64,8,8,131072,1,64,576,True,FLASH_ATTENTION
0.040863000000000003,0.04096,0.040903419999999996,0.040896,2.762469185348485e-05,8192,64,8,8,131072,1,64,640,True,FLASH_ATTENTION
0.044255,0.044383000000000006,0.04431166,0.044319000000000004,2.622183059971168e-05,8192,64,8,8,131072,1,64,704,True,FLASH_ATTENTION
0.047616,0.047775,0.04769496,0.04768,2.9360490459118174e-05,8192,64,8,8,131072,1,64,768,True,FLASH_ATTENTION
