time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.061278,0.061566,0.06143466,0.061438000000000006,6.182996360988716e-05,,,,,,8192,64,8,4,131072,1,32,992,True,FLASH_ATTENTION
0.061247,0.0616,0.06146502,0.061503,8.916602267680178e-05,,,,,,8192,64,8,4,131072,1,32,1024,True,FLASH_ATTENTION
0.064607,0.06499200000000001,0.06482696,0.0648315,9.142843321418212e-05,,,,,,8192,64,8,4,131072,1,32,1056,True,FLASH_ATTENTION
0.064639,0.065056,0.06489158,0.064896,0.00010039404165586763,,,,,,8192,64,8,4,131072,1,32,1088,True,FLASH_ATTENTION
0.06803100000000001,0.068351,0.0682228,0.068223,6.660030029962228e-05,,,,,,8192,64,8,4,131072,1,32,1120,True,FLASH_ATTENTION
0.068095,0.068511,0.06829832000000001,0.068288,0.00010440678905128719,,,,,,8192,64,8,4,131072,1,32,1152,True,FLASH_ATTENTION
0.071551,0.07187099999999999,0.07171052,0.071711,7.277808461343417e-05,,,,,,8192,64,8,4,131072,1,32,1184,True,FLASH_ATTENTION
0.071521,0.071968,0.07176552000000001,0.07179250000000001,0.00010673635556828861,,,,,,8192,64,8,4,131072,1,32,1216,True,FLASH_ATTENTION
0.075007,0.075327,0.07515132,0.0751355,7.139480093116106e-05,,,,,,8192,64,8,4,131072,1,32,1248,True,FLASH_ATTENTION
0.074975,0.075519,0.07519664,0.075199,0.00011428416513235857,,,,,,8192,64,8,4,131072,1,32,1280,True,FLASH_ATTENTION
0.078303,0.078751,0.07850533999999999,0.07849500000000001,8.745710034068223e-05,,,,,,8192,64,8,4,131072,1,32,1312,True,FLASH_ATTENTION
